[21-Sep-2018 09:30:07 UTC] PHP Warning:  preg_replace(): Unknown modifier 'f' in /var/www/html/polycroll/wp-content/themes/sela/functions.php on line 424
[21-Sep-2018 09:34:36 UTC] PHP Warning:  preg_replace(): Unknown modifier 'f' in /var/www/html/polycroll/wp-content/themes/sela/functions.php on line 424
[21-Sep-2018 09:34:47 UTC] PHP Warning:  preg_replace(): Unknown modifier 'f' in /var/www/html/polycroll/wp-content/themes/sela/functions.php on line 424
[21-Sep-2018 10:17:32 UTC] PHP Notice:  WP_Query was called with an argument that is <strong>deprecated</strong> since version 3.1.0! <code>caller_get_posts</code> is deprecated. Use <code>ignore_sticky_posts</code> instead. in /var/www/html/polycroll/wp-includes/functions.php on line 4045
[21-Sep-2018 10:17:32 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 10:17:32 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 10:29:30 UTC] PHP Notice:  WP_Query was called with an argument that is <strong>deprecated</strong> since version 3.1.0! <code>caller_get_posts</code> is deprecated. Use <code>ignore_sticky_posts</code> instead. in /var/www/html/polycroll/wp-includes/functions.php on line 4045
[21-Sep-2018 10:29:30 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 10:29:30 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 11:09:29 UTC] PHP Notice:  WP_Query was called with an argument that is <strong>deprecated</strong> since version 3.1.0! <code>caller_get_posts</code> is deprecated. Use <code>ignore_sticky_posts</code> instead. in /var/www/html/polycroll/wp-includes/functions.php on line 4045
[21-Sep-2018 11:09:29 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 11:09:29 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 11:10:36 UTC] PHP Notice:  WP_Query was called with an argument that is <strong>deprecated</strong> since version 3.1.0! <code>caller_get_posts</code> is deprecated. Use <code>ignore_sticky_posts</code> instead. in /var/www/html/polycroll/wp-includes/functions.php on line 4045
[21-Sep-2018 11:10:36 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 11:10:36 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 16:23:59 UTC] PHP Notice:  WP_Query was called with an argument that is <strong>deprecated</strong> since version 3.1.0! <code>caller_get_posts</code> is deprecated. Use <code>ignore_sticky_posts</code> instead. in /var/www/html/polycroll/wp-includes/functions.php on line 4045
[21-Sep-2018 16:23:59 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
[21-Sep-2018 16:23:59 UTC] PHP Notice:  Array to string conversion in /var/www/html/polycroll/wp-includes/media.php on line 879
